iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Get all Companies","GET","https://api.sendinblue.com/v3/companies?filters=veniam elit in&linkedContactsIds=13396752&linkedDealsIds=veniam elit in&page=13396752&limit=13396752&sort=desc&sortBy=veniam elit in","Bad Request","400","692","84","access-control-allow-credentials is present, Verify that access-control-allow-credentials header is true,true, Response time is less than 1000ms, Response time is less than 1000B",,,"4","4","0","0"
"1","Sendinblue","Create a company","POST","https://api.sendinblue.com/v3/companies","Bad Request","400","294","95","Response time is less than 1000ms, Response size is less than 1000B",,,"2","2","0","0"
"1","Sendinblue","Get company attributes","GET","https://api.sendinblue.com/v3/companies/attributes","Bad Request","400","322","128","Content-Type is present, Verify that Content-Type header is application/json, Response size is less than 1000B",,,"3","3","0","0"
"1","Sendinblue","Link and Unlink company with contact and deal","PATCH","https://api.sendinblue.com/v3/companies/link-unlink/veniam elit in","Bad Request","400","230","31","confirm the value of message, Content-Type is present, Verify that Content-Type header is application/json",,,"3","3","0","0"
"1","Sendinblue","Get a company","GET","https://api.sendinblue.com/v3/companies/veniam elit in","Bad Request","400","289","48","access-control-allow-credentials is present, Verify that access-control-allow-credentials header is true,true, confirm the value of message",,,"3","3","0","0"
"1","Sendinblue","Delete a company","DELETE","https://api.sendinblue.com/v3/companies/veniam elit in","Bad Request","400","274","32","confirm the value of message, Content-Type is present, Verify that Content-Type header is application/json",,,"3","3","0","0"
"1","Sendinblue","Update a company","PATCH","https://api.sendinblue.com/v3/companies/veniam elit in","Bad Request","400","273","84","Content-Type is present, Verify that Content-Type header is application/json, confirm the value of message",,,"3","3","0","0"
"1","Sendinblue","Get pipeline stages","GET","https://api.sendinblue.com/v3/crm/pipeline/details","Bad Request","400","278","84","access-control-allow-credentials is present, Verify that access-control-allow-credentials header is true,true, confirm the value of message",,,"3","3","0","0"
"1","Sendinblue","Get all deals","GET","https://api.sendinblue.com/v3/crm/deals?filter[attributes]=veniam elit in&filter[linkedCompaniesIds]=veniam elit in&filter[linkedContactsIds]=veniam elit in&offset=13396752&limit=13396752&sort=desc","Bad Request","400","254","189","access-control-allow-credentials is present, Verify that access-control-allow-credentials header is true,true, Response time is less than 1000ms",,,"3","3","0","0"
"1","Sendinblue","Create a deal","POST","https://api.sendinblue.com/v3/crm/deals","Internal Server Error","500","266","84","Response time is less than 1000ms, Response size is less than 1000B, confirm the value of message",,,"3","3","0","0"
